"scenario","formulation","selection_rule","p_selected","p_true","p_bic","error_true","error_bic","is_correct","matches_bic"
"A2_Single_Predictor","delta2_forward","min",18,1,1,17,17,FALSE,FALSE
"A2_Single_Predictor","delta2_forward","max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","delta2_forward","abs_min",18,1,1,17,17,FALSE,FALSE
"A2_Single_Predictor","delta2_forward","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","delta2_forward","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_forward","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_forward","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_central","min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta2_central","max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta2_central","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta2_central","abs_max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta2_central","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_central","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_central","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","abs_max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta2_intuitive","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta3_central","min",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta3_central","max",18,1,1,17,17,FALSE,FALSE
"A2_Single_Predictor","delta3_central","abs_min",18,1,1,17,17,FALSE,FALSE
"A2_Single_Predictor","delta3_central","abs_max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","delta3_central","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta3_central","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta3_central","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta3_forward","min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","delta3_forward","max",17,1,1,16,16,FALSE,FALSE
"A2_Single_Predictor","delta3_forward","abs_min",17,1,1,16,16,FALSE,FALSE
"A2_Single_Predictor","delta3_forward","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","delta3_forward","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta3_forward","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","delta3_forward","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","efficiency_change","min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","efficiency_change","max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","efficiency_change","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","efficiency_change","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","efficiency_change","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","efficiency_change","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","efficiency_change","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","min",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","abs_max",2,1,1,1,1,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","efficiency_change_shifted","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","ratio_metric","min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","ratio_metric","max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","ratio_metric","abs_min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","ratio_metric","abs_max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","ratio_metric","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","ratio_metric","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","ratio_metric","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","pct_change","min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","pct_change","max",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","pct_change","abs_min",19,1,1,18,18,FALSE,FALSE
"A2_Single_Predictor","pct_change","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","pct_change","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","pct_change","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","pct_change","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","kneedle_diff","min",5,1,1,4,4,FALSE,FALSE
"A2_Single_Predictor","kneedle_diff","max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","kneedle_diff","abs_min",5,1,1,4,4,FALSE,FALSE
"A2_Single_Predictor","kneedle_diff","abs_max",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","kneedle_diff","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","kneedle_diff","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","kneedle_diff","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","l_method_distance","min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","l_method_distance","max",5,1,1,4,4,FALSE,FALSE
"A2_Single_Predictor","l_method_distance","abs_min",1,1,1,0,0,TRUE,TRUE
"A2_Single_Predictor","l_method_distance","abs_max",5,1,1,4,4,FALSE,FALSE
"A2_Single_Predictor","l_method_distance","zero_crossing_floor",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","l_method_distance","zero_crossing_ceil",-1,1,1,Inf,Inf,FALSE,FALSE
"A2_Single_Predictor","l_method_distance","zero_crossing_round",-1,1,1,Inf,Inf,FALSE,FALSE
"A3_Full_Support","M_p","min",20,20,20,0,0,TRUE,TRUE
"A3_Full_Support","M_p","max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","M_p","abs_min",20,20,20,0,0,TRUE,TRUE
"A3_Full_Support","M_p","abs_max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","M_p","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","M_p","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","M_p","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_forward","min",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","delta1_forward","max",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","delta1_forward","abs_min",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","delta1_forward","abs_max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","delta1_forward","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_forward","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_forward","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_backward","min",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta1_backward","max",20,20,20,0,0,TRUE,TRUE
"A3_Full_Support","delta1_backward","abs_min",20,20,20,0,0,TRUE,TRUE
"A3_Full_Support","delta1_backward","abs_max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta1_backward","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_backward","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_backward","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_central","min",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta1_central","max",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","delta1_central","abs_min",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","delta1_central","abs_max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta1_central","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_central","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta1_central","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_forward","min",11,20,20,9,9,FALSE,FALSE
"A3_Full_Support","delta2_forward","max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","delta2_forward","abs_min",11,20,20,9,9,FALSE,FALSE
"A3_Full_Support","delta2_forward","abs_max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","delta2_forward","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_forward","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_forward","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_central","min",12,20,20,8,8,FALSE,FALSE
"A3_Full_Support","delta2_central","max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta2_central","abs_min",12,20,20,8,8,FALSE,FALSE
"A3_Full_Support","delta2_central","abs_max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta2_central","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_central","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_central","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","min",12,20,20,8,8,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","abs_min",12,20,20,8,8,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","abs_max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta2_intuitive","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","delta3_central","min",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta3_central","max",8,20,20,12,12,FALSE,FALSE
"A3_Full_Support","delta3_central","abs_min",15,20,20,5,5,FALSE,FALSE
"A3_Full_Support","delta3_central","abs_max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","delta3_central","zero_crossing_floor",4,20,20,16,16,FALSE,FALSE
"A3_Full_Support","delta3_central","zero_crossing_ceil",5,20,20,15,15,FALSE,FALSE
"A3_Full_Support","delta3_central","zero_crossing_round",5,20,20,15,15,FALSE,FALSE
"A3_Full_Support","delta3_forward","min",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","delta3_forward","max",7,20,20,13,13,FALSE,FALSE
"A3_Full_Support","delta3_forward","abs_min",14,20,20,6,6,FALSE,FALSE
"A3_Full_Support","delta3_forward","abs_max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","delta3_forward","zero_crossing_floor",3,20,20,17,17,FALSE,FALSE
"A3_Full_Support","delta3_forward","zero_crossing_ceil",4,20,20,16,16,FALSE,FALSE
"A3_Full_Support","delta3_forward","zero_crossing_round",4,20,20,16,16,FALSE,FALSE
"A3_Full_Support","efficiency_change","min",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","efficiency_change","max",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","efficiency_change","abs_min",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","efficiency_change","abs_max",1,20,20,19,19,FALSE,FALSE
"A3_Full_Support","efficiency_change","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","efficiency_change","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","efficiency_change","zero_crossing_round",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","efficiency_change_shifted","min",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","efficiency_change_shifted","max",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","efficiency_change_shifted","abs_min",19,20,20,1,1,FALSE,FALSE
"A3_Full_Support","efficiency_change_shifted","abs_max",2,20,20,18,18,FALSE,FALSE
"A3_Full_Support","efficiency_change_shifted","zero_crossing_floor",-1,20,20,Inf,Inf,FALSE,FALSE
"A3_Full_Support","efficiency_change_shifted","zero_crossing_ceil",-1,20,20,Inf,Inf,FALSE,FALSE
