"iteration","seed","p","R2","M_p","AIC","BIC","p_star_sigmoid","p_star_aic","p_star_bic","M_p_fitted"
5,1005,8,0.999728920527158,0.124966115065895,-1657.24060514038,-1623.523740353,2,7,7,0.125037295578957
5,1005,9,0.999729022416442,0.111081002490716,-1655.42857296362,-1617.49710007782,2,7,7,0.111369671547733
5,1005,10,0.999729077126481,0.0999729077126481,-1653.52953253848,-1611.38345155426,2,7,7,0.100787469925591
6,1006,1,0.384690695083938,0.384690695083938,2205.5170260442,2209.73163414262,1,7,7,0.368266452517095
6,1006,2,0.586386346062851,0.293193173031426,2008.92065547912,2017.34987167596,1,7,7,0.313472223386829
6,1006,3,0.773347279945808,0.257782426648603,1710.16397716235,1722.80780145762,1,7,7,0.263157662121487
6,1006,4,0.889454672340741,0.222363668085185,1353.16730889811,1370.0257412918,1,7,7,0.220023353684226
6,1006,5,0.953445360504353,0.190689072100871,922.7678207881,943.840861280211,1,7,7,0.185169091565065
6,1006,6,0.983935761929005,0.163989293654834,392.752269722189,418.039918312722,1,7,7,0.158327455688848
6,1006,7,0.999688270870184,0.142812610124312,-1576.35583301582,-1546.85357632686,1,7,7,0.138411823646145
6,1006,8,0.99968930424985,0.124961163031231,-1576.01608254692,-1542.29921775954,1,7,7,0.124039538725558
