"iteration","p","R2","M_p","AIC","BIC","selected_by_Mp","selected_by_AIC","selected_by_BIC","subset_p","subset_Mp","subset_AIC","subset_BIC","support_true"
2,19,0.992933685917268,0.0522596676798562,-1608.53640572657,-1528.45885185655,TRUE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13,14,15,17,18,19","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20","1,4,8,16","1,4,8,16","1,4,16"
2,20,0.992934010773154,0.0496467005386577,-1606.55939248816,-1522.26723051972,FALSE,FALSE,FALSE,"16,4,1,2,3,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20","1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20","1,4,8,16","1,4,8,16","1,4,16"
3,1,0.444152385369373,0.444152385369373,286.066926674608,290.28153477303,FALSE,FALSE,FALSE,"1","1","1","1","1,9,17"
3,2,0.855230099037276,0.427615049518638,-384.607368432934,-376.178152236089,FALSE,FALSE,FALSE,"1,17","1,2","1,2","1,2","1,9,17"
3,3,0.987647184410023,0.329215728136674,-1613.23815442343,-1600.59433012817,FALSE,FALSE,FALSE,"1,17,9","1,2,3","1,2,7","1,2,9","1,9,17"
3,4,0.987839096439142,0.246959774109786,-1619.06707458084,-1602.20864218715,FALSE,FALSE,TRUE,"1,17,9,2","1,2,3,4","1,2,7,9","1,2,9,17","1,9,17"
3,5,0.987952629394999,0.197590525879,-1621.75694992931,-1600.6839094372,FALSE,FALSE,FALSE,"1,17,9,2,3","1,2,3,4,6","1,2,7,9,15","1,2,9,17","1,9,17"
3,6,0.987989023966306,0.164664837327718,-1621.26971386173,-1595.9820652712,FALSE,FALSE,FALSE,"1,17,9,2,3,4","1,2,3,4,6,7","1,2,7,9,15,16","1,2,9,17","1,9,17"
3,7,0.988056885576349,0.141150983653764,-1622.10270773863,-1592.60045104967,FALSE,TRUE,FALSE,"1,17,9,2,3,4,5","1,2,3,4,6,7,8","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,8,0.988084273962724,0.12351053424534,-1621.25064275459,-1587.53377796721,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6","1,2,3,4,6,7,8,9","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,9,0.98811260351681,0.109790289279646,-1620.44080456795,-1582.50933168216,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7","1,2,3,4,6,7,8,9,10","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,10,0.98813823175643,0.098813823175643,-1619.51992671237,-1577.37384572814,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8","1,2,3,4,6,7,8,9,10,11","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,11,0.988168129141132,0.0898334662855574,-1618.78175907335,-1572.42106999071,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10","1,2,3,4,6,7,8,9,10,11,12","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,12,0.988192259398059,0.0823493549498383,-1617.80251465339,-1567.22721747233,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11","1,2,3,4,6,7,8,9,10,11,12,13","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,13,0.988217041784142,0.0760166955218571,-1616.85303017186,-1562.06312489237,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12","1,2,3,4,6,7,8,9,10,11,12,13,14","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,14,0.988231993427659,0.070587999530547,-1615.48789356957,-1556.48338019166,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13","1,2,3,4,6,7,8,9,10,11,12,13,14,15","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,15,0.988237230166582,0.0658824820111055,-1613.71044207028,-1550.49132059395,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13,14","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,16,0.988240491438423,0.0617650307149014,-1611.84908815751,-1544.41535858275,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13,14,15","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,17,0.988241362372863,0.0581318448454625,-1609.88612060187,-1538.2377829287,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13,14,15,16","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,18,0.988241968232726,0.0549023315684848,-1607.91188359804,-1532.04893782644,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,19,0.98824250042089,0.0520127631800469,-1605.93451494565,-1525.85696107562,TRUE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
3,20,0.988242509601615,0.0494121254800807,-1603.93490536574,-1519.64274339729,FALSE,FALSE,FALSE,"1,17,9,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19,20","1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","1,2,7,9,15,16,17","1,2,9,17","1,9,17"
4,1,0.56289610036459,0.56289610036459,64.2003370331645,68.4149451315867,FALSE,FALSE,FALSE,"18","1","1","1","1,10,18"
4,2,0.867465443909899,0.43373272195495,-530.463418634355,-522.03420243751,FALSE,FALSE,FALSE,"18,10","1,2","1,6","1,10","1,10,18"
4,3,0.984271852220108,0.328090617406703,-1594.15914501846,-1581.51532072319,FALSE,FALSE,TRUE,"18,10,1","1,2,3","1,6,8","1,10,18","1,10,18"
4,4,0.984351867752272,0.246087966938068,-1594.70934235077,-1577.85090995708,FALSE,FALSE,FALSE,"18,10,1,2","1,2,3,4","1,6,8,9","1,10,18","1,10,18"
4,5,0.984448271460657,0.196889654292131,-1595.79922841931,-1574.7261879272,FALSE,FALSE,FALSE,"18,10,1,2,3","1,2,3,4,5","1,6,8,9,10","1,10,18","1,10,18"
4,6,0.984513743834107,0.164085623972351,-1595.90865888595,-1570.62101029542,FALSE,FALSE,FALSE,"18,10,1,2,3,4","1,2,3,4,5,6","1,6,8,9,10,13","1,10,18","1,10,18"
4,7,0.984580312351852,0.140654330335979,-1596.06256886166,-1566.5603121727,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5","1,2,3,4,5,6,7","1,6,8,9,10,13,14","1,10,18","1,10,18"
4,8,0.984660325195649,0.123082540649456,-1596.66382642642,-1562.94696163905,FALSE,TRUE,FALSE,"18,10,1,2,3,4,5,6","1,2,3,4,5,6,7,8","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,9,0.984700413026414,0.109411157002935,-1595.97220826441,-1558.04073537861,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7","1,2,3,4,5,6,7,8,9","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,10,0.984734388589094,0.0984734388589094,-1595.08378543289,-1552.93770444866,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8","1,2,3,4,5,6,7,8,9,10","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,11,0.984751817348607,0.089522892486237,-1593.65496191041,-1547.29427282776,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9","1,2,3,4,5,6,7,8,9,10,11","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,12,0.984762811863688,0.0820635676553074,-1592.01561081425,-1541.44031363319,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11","1,2,3,4,5,6,7,8,9,10,11,12","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,13,0.984777721043652,0.0757521323879733,-1590.50508691405,-1535.71518163456,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12","1,2,3,4,5,6,7,8,9,10,11,12,13","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,14,0.984787159256054,0.070341939946861,-1588.81519618245,-1529.81068280454,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13","1,2,3,4,5,6,7,8,9,10,11,12,13,14","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,15,0.984791641471467,0.0656527760980978,-1586.96253473428,-1523.74341325795,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13,14","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,16,0.98479633573547,0.0615497709834669,-1585.11689026901,-1517.68316069426,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13,14,15","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
4,17,0.984799888155527,0.0579294051856192,-1583.23373167912,-1511.58539400595,FALSE,FALSE,FALSE,"18,10,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","1,6,8,9,10,13,14,18","1,10,18","1,10,18"
